epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6143,2.14615,4.47172,1.92482,0,0,0,0,nan,nan,nan,0.00328125,0.00328125,0.0704687
2,37.8756,2.00496,3.65658,1.81337,0.10861,0.0279,0.00245,0.00093,nan,nan,nan,0.00661297,0.00661297,0.0404671
3,52.8019,1.97749,3.51436,1.78016,0.4195,0.01843,0.00957,0.00338,2.33534,67.5854,3.25088,0.0099382,0.0099382,0.010459
4,67.8577,1.92204,3.3787,1.70697,0.4242,0.07865,0.01471,0.00658,2.05304,26.8256,2.55176,0.00997803,0.00997803,0.00997803
5,83.2791,1.88776,3.26025,1.69185,0.49035,0.08578,0.0295,0.0108,2.08905,5.17302,2.12908,0.00996097,0.00996097,0.00996097
6,98.5165,1.87275,3.19426,1.67883,0.47844,0.06382,0.03346,0.01611,1.9497,4.13457,1.9969,0.00993906,0.00993906,0.00993906
7,113.878,1.86531,3.10014,1.6511,0.43489,0.11097,0.03564,0.01694,1.82495,6.55377,1.89468,0.00991232,0.00991232,0.00991232
8,129.276,1.8473,3.06946,1.64499,0.50697,0.09208,0.05149,0.0259,1.89392,3.61457,1.94003,0.00988079,0.00988079,0.00988079
9,144.593,1.8204,2.92374,1.60494,0.37133,0.11813,0.05504,0.02661,1.8194,3.10836,1.85898,0.00984449,0.00984449,0.00984449
10,159.981,1.80974,2.91576,1.60087,0.36075,0.09448,0.04834,0.023,1.79475,3.65136,1.76785,0.00980345,0.00980345,0.00980345
11,175.102,1.77423,2.84702,1.58775,0.50431,0.12558,0.06458,0.03133,1.7957,2.80065,1.76899,0.00975773,0.00975773,0.00975773
12,190.487,1.7982,2.83684,1.60462,0.57114,0.08197,0.04714,0.02251,1.80682,4.23677,1.77925,0.00970736,0.00970736,0.00970736
13,205.674,1.76615,2.76157,1.58851,0.58534,0.12898,0.06055,0.02974,1.84163,2.97701,1.8914,0.00965239,0.00965239,0.00965239
14,220.598,1.76421,2.72432,1.56592,0.62023,0.07694,0.05551,0.02841,1.83475,2.90608,1.82105,0.00959289,0.00959289,0.00959289
15,235.317,1.74313,2.66223,1.55072,0.60594,0.14613,0.08056,0.03857,1.84234,2.62765,1.74568,0.00952889,0.00952889,0.00952889
16,250.097,1.76038,2.68839,1.56326,0.48373,0.1327,0.06596,0.03343,1.73975,3.23483,1.75103,0.00946048,0.00946048,0.00946048
17,264.799,1.72216,2.60927,1.52243,0.60958,0.10625,0.07854,0.04,1.76822,3.05773,1.76346,0.00938772,0.00938772,0.00938772
18,279.542,1.70138,2.64696,1.54518,0.62851,0.11723,0.0891,0.04464,1.70187,2.4564,1.65823,0.00931067,0.00931067,0.00931067
19,294.333,1.7051,2.4999,1.52491,0.63934,0.11806,0.09645,0.04949,1.72346,2.74091,1.70102,0.00922942,0.00922942,0.00922942
20,309.065,1.71487,2.5485,1.53188,0.64139,0.13985,0.09886,0.04997,1.70614,2.47168,1.67877,0.00914405,0.00914405,0.00914405
21,323.851,1.73312,2.53753,1.51522,0.61586,0.11995,0.09087,0.04901,1.71634,2.60618,1.69727,0.00905463,0.00905463,0.00905463
22,338.561,1.706,2.46096,1.51873,0.40633,0.14347,0.08979,0.04471,1.76646,2.53783,1.75553,0.00896127,0.00896127,0.00896127
23,353.295,1.69831,2.42934,1.52702,0.57485,0.14176,0.11554,0.06117,1.71763,2.54539,1.68858,0.00886404,0.00886404,0.00886404
24,368.213,1.69586,2.42986,1.5081,0.61508,0.12372,0.13134,0.06676,1.61955,2.46362,1.61719,0.00876305,0.00876305,0.00876305
25,383.004,1.6831,2.41615,1.49613,0.67587,0.12679,0.12555,0.06681,1.64689,2.33538,1.66702,0.00865839,0.00865839,0.00865839
26,397.98,1.64799,2.38061,1.48252,0.64869,0.13187,0.11849,0.06212,1.64405,2.45617,1.61764,0.00855018,0.00855018,0.00855018
27,412.724,1.67915,2.38691,1.48112,0.54062,0.1761,0.12686,0.06571,1.67185,2.30278,1.64444,0.00843851,0.00843851,0.00843851
28,427.466,1.66758,2.33102,1.48019,0.56395,0.14083,0.13109,0.07159,1.63455,2.1544,1.61414,0.00832349,0.00832349,0.00832349
29,442.264,1.64293,2.24398,1.46067,0.6333,0.16623,0.12503,0.06401,1.66346,2.49504,1.61178,0.00820525,0.00820525,0.00820525
30,457.227,1.67786,2.28111,1.47521,0.5733,0.15598,0.14088,0.07632,1.61611,2.17422,1.59704,0.00808389,0.00808389,0.00808389
31,472.29,1.62932,2.27262,1.47505,0.62227,0.17707,0.11211,0.05908,1.68946,2.3877,1.66607,0.00795954,0.00795954,0.00795954
32,487.305,1.63792,2.25119,1.47954,0.53618,0.1668,0.12967,0.07013,1.63254,2.27294,1.62958,0.00783231,0.00783231,0.00783231
33,502.358,1.64786,2.20217,1.45946,0.67352,0.165,0.14607,0.08111,1.59491,2.08908,1.6063,0.00770234,0.00770234,0.00770234
34,517.553,1.61223,2.17234,1.43693,0.67761,0.15622,0.14307,0.08021,1.58528,2.21422,1.57492,0.00756976,0.00756976,0.00756976
35,532.968,1.62723,2.16058,1.44362,0.57706,0.19504,0.15326,0.08352,1.63646,2.10276,1.60578,0.00743468,0.00743468,0.00743468
36,548.515,1.60402,2.17669,1.43265,0.72086,0.14384,0.14965,0.07899,1.63115,2.13306,1.5682,0.00729725,0.00729725,0.00729725
37,563.803,1.57584,2.04315,1.41816,0.56686,0.17538,0.14335,0.07749,1.61304,2.15593,1.58917,0.00715761,0.00715761,0.00715761
38,579.031,1.59336,2.08129,1.42427,0.58685,0.1923,0.17013,0.09516,1.60914,2.0312,1.59216,0.00701588,0.00701588,0.00701588
39,594.164,1.59944,2.08825,1.43657,0.60142,0.18774,0.18173,0.09271,1.60387,2.05702,1.56613,0.00687222,0.00687222,0.00687222
40,609.205,1.59348,2.06194,1.42731,0.58594,0.19163,0.15304,0.08477,1.60856,2.05443,1.56439,0.00672675,0.00672675,0.00672675
41,624.363,1.61141,2.07563,1.43695,0.32222,0.22328,0.14181,0.07401,1.62372,2.17462,1.57734,0.00657963,0.00657963,0.00657963
42,639.244,1.57891,2.05484,1.4277,0.35602,0.20824,0.16923,0.09009,1.59531,2.07583,1.57435,0.00643101,0.00643101,0.00643101
